Date,Open,High,Low,Close,Volume,Adj Close
2015-07-30,27.80,27.80,26.86,27.05,8423500,25.7967
2015-07-29,27.11,27.88,27.11,27.60,7387800,26.3212
2015-07-28,27.36,27.69,26.63,27.30,11285400,26.0351
2015-07-27,26.70,27.26,26.60,26.96,9633500,25.7109
2015-07-24,26.50,26.74,25.83,26.71,12322700,25.4725
2015-07-23,27.54,27.74,26.44,26.50,13006000,25.2722
2015-07-22,27.68,27.84,27.33,27.73,5757900,26.4452
2015-07-21,28.20,28.27,27.72,27.95,6068000,26.655
2015-07-20,28.63,28.72,28.15,28.20,4469900,26.8934
2015-07-17,28.99,29.29,28.48,28.72,5593200,27.3893
2015-07-16,29.33,29.39,28.75,28.90,6545200,27.561
2015-07-15,29.25,29.25,28.72,28.96,5654300,27.6182
2015-07-14,28.90,29.36,28.65,29.17,6125500,27.8185
2015-07-13,28.77,29.11,28.41,28.98,7158200,27.6373
2015-07-10,27.97,28.56,27.80,28.46,7340400,27.1414
2015-07-09,27.37,27.37,27.37,27.37,000,26.1019
2015-07-08,27.62,28.06,27.32,27.37,5397600,26.1019
2015-07-07,27.85,27.96,27.20,27.87,9191200,26.5787
2015-07-06,28.11,28.47,27.83,28.00,7709000,26.7027
2015-07-03,28.71,28.81,28.36,28.52,2338000,27.1986
2015-07-02,28.65,28.98,28.47,28.87,6276200,27.5324
2015-07-01,28.65,28.75,28.20,28.37,6744900,27.0375
2015-06-30,28.61,28.78,28.28,28.50,6261700,27.1614
2015-06-29,28.60,28.96,28.20,28.45,6712300,27.1137
2015-06-26,28.57,29.18,28.57,29.09,6318200,27.7236
2015-06-25,28.88,28.88,28.05,28.62,8710300,27.2757
2015-06-24,28.68,28.90,28.43,28.80,4375100,27.4473
2015-06-23,28.51,28.94,28.37,28.64,6203200,27.2948
2015-06-22,28.39,28.67,28.10,28.50,9312000,26.9804
2015-06-19,28.38,28.66,27.95,28.20,9877600,26.6964
2015-06-18,28.01,28.92,27.62,28.76,8238000,27.2265
2015-06-17,28.10,28.20,27.61,27.72,8789400,26.242
2015-06-16,27.82,28.50,27.67,28.31,9024000,26.8005
2015-06-15,27.60,27.79,27.10,27.61,9392300,26.1378
2015-06-12,28.00,28.29,27.71,27.77,8170200,26.2893
2015-06-11,28.51,28.69,27.88,28.30,9431600,26.791
